 기업명::경력,학력::근무지,근무형태::기업규모::평균연봉::분류코드
 CJ그룹 ::신입대졸이상::서울 중구 외	정규직::대기업::6,571::17111
 (주)풀무원 ::신입/경력(연차무관)초대졸이상::서울 강남구 외	정규직외::중견기업::5,893::17111
 하이미디어아카데미 ::신입/경력(연차무관)학력무관::서울 종로구	교육생(연수생)::중소기업::3,211::17111
 (사)한국선급 ::신입/경력(연차무관)대졸이상::부산 강서구	정규직::대기업::6,494::17111
 더케이교직원나라(주) ::신입고졸이상::서울 종로구 외	정규직::중소기업::4,711::17111
 한국전자금융(주) ::신입/경력1년↑고졸이상::서울 외	계약직::중견기업::5,069::17111
 주식회사 코드스테이츠 ::신입/경력(연차무관)학력무관::서울 서초구 외	교육생(연수생)::중소기업::4,137::17111
 (주)웨슬리퀘스트 ::신입/경력(연차무관)학력무관::서울 마포구 외	정규직::중소기업::None::17111
 슈어소프트테크 ::신입/경력(연차무관)학력무관::서울 강남구 외	정규직::중소기업::4,392::17111
 (주)YG엔터테인먼트 ::신입/경력(연차무관)학력무관::서울 마포구 외	정규직::중견기업::None::17111
 라인프렌즈 주식회사 ::신입/경력(연차무관)학력무관::서울 용산구 외	정규직::대기업::6,049::17111
 (주)조인스에이치알코리아 ::경력5년↑학력무관::서울 서초구	정규직::중소기업::None::17111
 (주)조인스에이치알코리아 ::경력5년↑학력무관::서울 서초구	정규직::중소기업::None::17111
 와디즈(주) ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직::중소기업::3,339::17111
 SK에너지 ::신입/경력2년미만학력무관::서울 종로구	정규직::대기업::6,692::17111
 (주)피앤피시큐어 ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직::중견기업::5,148::17111
 (주)비지에프네트웍스 ::신입/경력(연차무관)초대졸이상::서울 광진구	정규직::중견기업::5,218::17111
 (주)교보문고 ::신입대졸이상::서울 마포구	정규직::대기업::4,501::17111
 엔쓰리엔(주) ::신입/경력2년↑대졸::서울 강남구	정규직외	월급::중소기업::4,988::17111
 메가소프트(주) ::신입초대졸이상::서울	정규직	3,200~3,400만원::중소기업::3,014::17111
 (주)엠넷소프트 ::신입/경력(연차무관)고졸이상::서울 금천구	정규직외	2,500~3,000만원::중소기업::2,733::17111
 (주)KB저축은행 ::신입/경력2년↑학력무관::서울 송파구	정규직::대기업::5,715::17111
 (주)코인챗 ::신입/경력(연차무관)학력무관::서울 강남구	정규직	4,000~5,000만원::중소기업::3,712::17111
 (주)레듀텍 ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직::중소기업::3,627::17111
 AJ네트웍스 주식회사 ::신입/경력(연차무관)고졸이상::서울 송파구 외	정규직::중견기업::4,831::17111
 (주)스타랩스 ::경력(연차무관)학력무관::서울 강남구	정규직::중소기업::4,954::17111
 (주)제스트씨엔에스 ::신입고졸이상::서울 구로구 외	정규직::중소기업::2,693::17111
 포인트아이 주식회사 ::신입/경력1년↑학력무관::서울 강남구	정규직	4,000~5,000만원::중소기업::5,182::17111
 (사)한국물가정보 ::신입/경력(연차무관)초대졸이상::경기 파주시	정규직::대기업::4,107::17111
 에스케이엠앤서비스(주) ::경력3~6년학력무관::서울 중구	정규직외::대기업::None::17111
 주식회사 폴라리스오피스 ::경력2년↑학력무관::서울 금천구	정규직::중소기업::4,904::17111
 한국교육평가진흥원 ::신입/경력(연차무관)대졸이상::서울 외	정규직외::중소기업::3,465::17111
 (주)엠비엔미디어텍 ::신입/경력2년↑초대졸이상::서울 중구	정규직::중견기업::5,192::17111
 (주)교보문고 ::경력1년↑대졸이상::서울 마포구	계약직::대기업::4,501::17111
 한화호텔앤드리조트(주) ::경력(연차무관)학력무관::서울 영등포구	정규직::대기업::3,632::17111
 동아출판(주) ::경력10년↑대졸이상::서울 영등포구	정규직::중견기업::5,466::17111
 주식회사 직방 ::경력3년↑학력무관::서울 종로구	정규직::중소기업::None::17111
 주식회사 티몬 ::경력2년↑학력무관::서울 강남구	정규직::중견기업::3,624::17111
 동아출판(주) ::경력3년↑대졸이상::서울 영등포구	정규직::중견기업::5,466::17111
 (주)이마트에브리데이 ::경력(연차무관)학력무관::서울 성동구	정규직::대기업::2,167::17111
 해킷 ::신입/경력(연차무관)학력무관::부산 금정구	정규직::중소기업::None::17111
 (주)우성사료 ::경력(연차무관)대졸이상::대전 외	정규직::중견기업::5,322::17111
 엔에이치엔커머스(주) ::신입/경력(연차무관)학력무관::부산	정규직::중견기업::4,731::17111
 (주)서울게임 ::신입/경력(연차무관)학력무관::서울 종로구 외	교육생(연수생)::중소기업::None::17111
 아테나스랩(주) ::신입/경력1년↑학력무관::서울 마포구	정규직::중소기업::2,831::17111
 (주)윕스 ::신입/경력(연차무관)학력무관::서울 마포구 외	정규직외::중소기업::4,493::17111
 라인비즈플러스(주) ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직::대기업::6,597::17111
 (주)에스에스지닷컴 ::신입/경력(연차무관)학력무관::서울 종로구	정규직::대기업::3,727::17111
 (주)뱅코 ::신입/경력1년↑학력무관::서울 강남구	정규직	3,500~4,000만원::중소기업::3,884::17111
 인파트너스 ::경력7~12년대졸이상::서울 외	정규직	6,000~7,000만원::소기업::None::17111
 (주)비바리퍼블리카 ::신입/경력(연차무관)학력무관::서울 강남구	계약직	시급::중소기업::6,267::17111
 카카오페이증권(주) ::경력2년↑학력무관::경기 성남시	정규직::대기업::5,741::17111
 GS건설(주) ::경력(연차무관)대졸이상::서울 종로구	정규직::대기업::None::17111
 (주)헤리티지서치코어 ::경력5~8년대졸이상::서울	정규직::중소기업::None::17111
 더나은인재들 주식회사 ::경력2년↑대졸이상::서울 강남구	정규직외::중소기업::2,258::17111
 (주)네오플 ::경력2년↑학력무관::제주 제주시	정규직::대기업::6,511::17111
 현대HDS(주) ::경력1년↑대졸이상::서울 송파구	정규직::중견기업::6,289::17111
 (주)아이엔지웹 ::신입/경력(연차무관)초대졸이상::대전 동구 외	정규직::중소기업::1,980::17111
 (주)엔에스이 ::신입/경력(연차무관)대졸이상::대전 유성구	정규직외	2,500~3,000만원::중소기업::4,303::17111
 (주)코리아티엠 ::신입/경력2년↑초대졸::서울 중구	정규직	4,000~5,000만원::중소기업::3,217::17111
 휴인(HUUIN) ::신입/경력(연차무관)학력무관::경기 의정부시 외	정규직외	월급::중소기업::None::17111
 네오위즈 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중견기업::5,286::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 용인시	프리랜서::중소기업::None::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 수원시 영통구 외	프리랜서::중소기업::None::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 수원시	프리랜서::중소기업::None::17111
 HR컨설팅(주) ::경력4~12년대졸::서울 중구	정규직::중소기업::None::17111
 (주)프로매치코리아 ::경력5~8년초대졸이상::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력4년↑초대졸::서울 송파구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력5~10년대졸::서울 강남구	정규직::중소기업::2,781::17111
 에스케이텔레콤(주) ::경력4년↑석사이상::서울 종로구	정규직::대기업::6,715::17111
 (주)하나무역 ::신입/경력(연차무관)학력무관::경기 수원시 팔달구 외	정규직::중소기업::3,681::17111
 (주)프로매치코리아 ::경력3~10년대졸::서울 강남구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~13년대졸::서울 강남구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~13년대졸::서울 강남구	정규직::중소기업::2,781::17111
 코리아소프트(주) ::경력3년↑학력무관::인천 부평구	정규직::중소기업::3,682::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 데브시스터즈(주) ::경력(연차무관)학력무관::서울 강남구	정규직::중소기업::None::17111
 풀무원식품 주식회사 ::경력5~10년대졸이상::서울 강남구	정규직::중견기업::5,584::17111
 아이티윌 부산교육센터 ::신입학력무관::부산 부산진구	정규직	월급::중소기업::None::17111
 (주)웹랩(Web Lab) ::신입초대졸이상::서울 마포구	정규직	2,500~3,000만원::중소기업::None::17111
